title,reporter,content,category,date
사기 전문 변호사도 놀란 전청조 13가지 수법,익명,"




왼쪽부터 전 펜싱 국가대표 남현희와 재혼 상대로 알려진 전청조. photo CBS 김현정의 뉴스쇼, 채널A 방송화면 캡처33년간 사기 전문 검사로 이름을 날린 변호사가 전청조의 사기수법에 대해 총천연색이라며 전 국가대표 펜싱선수 남현희도 당할 수밖에 없었을 것이라고 해석했다.임채원 변호사는 지난 6일 CBS라디오 '김현정의 뉴스쇼'에서 전청조의 사기수법이 ""전문가들이 말하는 13가지 사기 전략을 뒤섞어 그 사람이 하는 대로 빠져들 수밖에 없었던 것 같다""며 이같이 밝혔다.임 변호사는 ""그동안 수사를 해보면 사기꾼들 사기수법은 평생 한 가지 또는 두 가지""라며 ""그런데 전청조는 여러 사기 패턴을 뒤섞어 사용했다""고 설명했다.전청조 수법을 두고 ""첫 번째는 미안할 정도로 잘해줬다. 고급 외제 차도 사주고 명품 가방에다가 하루 1박에 1200만 원 정도 드는 곳 등 물량공세를 펼쳤다""며 ""처음에는 좀 이상하다고 생각했을지 모르지만 판단을 못 할 정도로 물량 공세를 해대면 너무 미안해서 상대방에게 우호적인 태도가 생긴다""고 전했다.임 변호사는 ""남현희 같은 경우는 이혼해서 심적으로 공허한 상태였다""며 ""펜싱 학원의 성추행 문제 해결이라는 절실한 니즈를 (전청조의) 해결해 주겠다고 하면서 (남현희를) 공략한 것""이라고 짚었다.또 유명인을 안다고 허풍 떠는 것 역시 전형적인 사기 패턴이라고 지적했다. 임 변호사는 ""일반인들이 접근하기 어려운 재벌 얘기를 하니까 처음에는 약간 의심했을지 모르지만, 그냥 빠져들 수밖에 없었던 것 같다""며 ""처음 전청조의 남현희를 찾아가서 '펜싱이 거의 프로급 수준인 사람(일론 전청조의)하고 조만간 시합하는데 당신한테 배워서 꼭 이기고 싶다'는 둥 고도의 심리전도 펼쳤다""고 풀이했다.이어 ""승부사인 남현희로선 한참 어린 사람이, 자기처럼 왜소한 사람이 '꼭 이기고 싶다'며 승부욕 강한 그런 모습을 보였을 때 도와주고 싶은 그런 마음이 생겼을 것""이라며 ""아주 고도의 심리전이었다""고 혀를 내둘렀다.이와 관련해 전청조처럼 모든 수법을 치밀하게 동원하면 속을 수밖에 없다고 주의를 당부했다. 임 변호사는 누구나 사기 피해자가 될 수 있으니 이유 없이 호의를 베푸는 사람을 경계해야 한다고 경고하는 한편, 사기를 당한 뒤 피해를 최소화하고 사기꾼을 처벌할 수 있으려면 철저하게 기록을 남겨둬야 한다고도 조언했다.※주간조선 온라인 기사입니다.
",social,2023.11.07. 오전 11:31
"“대전 전세사기 피해자, 80%가 후순위 임차인”",익명,"




■ 다가구주택 피해 많은 대전…전세사기 구제 더뎌전세사기 피해가 갈수록 커지고 있습니다. 특히 대전은 다른 지역과 달리 정부 대책의 사각지대로 꼽히는 다가구주택 피해자가 많아 구제가 더디거나 되지 않고 있습니다.이런 대전 지역 피해 상황이 잘 드러난 조사 결과가 공개됐습니다. 한국도시연구소 등이 지난 8월 말부터 9월 중순까지 전국의 전세사기 피해가구 천5백여 곳을 대상으로 피해 실태를 조사한 건데요. 대전에서 조사에 참여한 가구는 246곳입니다.



이들 가운데 80%는 다가구주택에 거주하고 있습니다.  연립·다세대주택이나 오피스텔 비율이 높은 다른 지역과 차이가 뚜렷합니다. 대전과 달리 서울·경기 피해자는 절반이 연립이나 다세대주택에 거주하고 있었고 부산은 오피스텔이 58%였습니다.다가구주택은 겉모습은 빌라이지만 서류상으로는 단독주택과 같습니다. 세대가 달라도 등기는 하나인 건데 이 때문에 전세사기 특별법이 보장하는 방어권을 행사하기 어렵습니다.



■ ""대전 전세사기 피해자 80%가 후순위 임차인""더 큰 문제는 경매로 집이 팔리면 보증금을 회수할 수 있는 선순위 임차인이 11%에 그쳤다는 점입니다.나머지는 후순위 임차인인 건데요. 이 가운데 보증금을 일부라도 되찾을 가능성이 있는 '최우선 변제대상'을 제외해도 후순위 임차인이 80%가 넘습니다.서울·경기 피해자 가운데 후순위 임차인이 19%에 그친 것과 비교하면 4배가 넘습니다. 그만큼 보증금을 돌려받지 못하게 될 가능성이 큰 사람들이 많은 겁니다.이는 계약 당시 선순위 임차보증금이 얼마나 있는지 제대로 된 정보를 고지받지 못했기 때문으로 분석되고 있습니다.   김기성/한국도시연구소 연구원""선순위 임차인들이 얼마나 있었는지 이런 것들이 다가구주택의 특성상 파악하기 어려웠을 수 있다…. 계약 과정에서 제대로 고지를 받지 못한 것 (같습니다.)""  



실제 최근 대전에서는 다가구주택 2백여 채를 소유한 임대인 40대 김 모 씨가 전세사기 혐의로 구속기소 됐는데, 임차인들에게 선순위 임차보증금을 실제보다 낮게 고지한 혐의를 받고 있습니다.조사에 참여한 대전의 전세사기 피해자들 역시 선순위 근저당권이 있음에도 집 계약을 한 주된 이유로 43%가 임대인의 '설득과 기망' 때문이었다고 답했습니다.



■ ""보증금 되찾지 못할 것""…비관적 전망 높아이러다 보니 결국 보증금을 돌려받지 못할 것이라는 비관적 전망이 유독 대전에서 66%로 가장 높았습니다.전세사기 피해자들은 부동산 제도 안에서 정상적으로 계약을 맺고도 사기 피해를 당했다고 말합니다.정부가 사각지대에 놓인 다가구주택 피해자를 위해 공공이 건물을 매입해 임차인을 구제하는 방안을 검토 중이라고 밝혔는데요.지금 검토해 언제 대책이 나올지 피해자들의 한숨이 깊어지고 있습니다.■ 제보하기▷ 전화 : 02-781-1234, 4444▷ 이메일 : kbs1234@kbs.co.kr▷ 카카오톡 : 'KBS제보' 검색, 채널 추가▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!
",social,2023.11.07. 오전 11:30
"독박육아男 ""미인대회 출신 아내, 집 나간지 3년째..이혼하고 싶어요""",익명,"




사진=게티이미지뱅크 [파이낸셜뉴스] 미인대회 출신 아내가 갑자기 집을 나가 연락이 두절되자 기다리다 못한 남편이 이혼을 결심한 사연이 공개됐다.   7일 YTN라디오 '조인섭 변호사의 상담소'에 인플루언서였던 미인대회 출신 아내가 시부모와 크게 다툰 뒤 집을 나가 3년 가까이 연락이 끊겼다는 남성의 사연이 소개됐다.   제보자 A씨는 ""미인대회 출신 아내와 10여년간 결혼생활을 했다""며 ""한때는 아내가 입는 것, 먹는 것 모두가 사회관계망서비스(SNS)에서 관심을 받았지만 과대광고로 누리꾼들에게 뭇매를 맞게 된 이후 아내가 변했다""고 운을 뗐다.   그는 ""아내가 가정주부이면서 아이들에게 밥을 차려주지 않았을뿐더러, 친구들과 밤늦게까지 술을 마시는가 하면 집에 안 들어온 적도 있다""면서 ""저한테 폭언을 퍼부었다""고 주장했다.   그러던 중 A씨의 아내는 시부모와 크게 다툰 뒤 집을 나가 일방적으로 연락을 끊는 바람에 A씨 혼자 3년 가까이 아이를 양육했다. A씨는 ""처음에는 아내를 기다렸지만 지금은 그 마음이 사라졌고 빨리 아내와 이혼하고 싶다""고 토로했다. 하지만 아내가 현재 어디에 살고 있는지 알지 못한다는 게 A씨의 설명이다.   A씨는 ""그동안 못 받은 양육비, 현재 살고 있는 아파트는 아내 명의지만 대출은 제 명의이며 제가 계속 상환하고 있다""면서 ""아내는 협의이혼을 신청했다가 일방적으로 취소한 뒤에 연락 두절 상태""라고 부연했다. 그러면서 ""그동안 못 받은 양육비, 재산분할 관계가 궁금하다"" 고 조언을 구했다.   해당 사연을 접한 박경내 변호사는 ""이혼의 경우 자녀가 있다면 협의이혼신청 뒤 숙려기간을 보내고 확인기일에 출석해 배우자 모두로부터 이혼 의사를 확인해야 협의이혼이 성립된다""며 ""법원을 통해 친권과 양육권, 양육비에 대해서도 합의사항을 확인받게 된다""고 말했다.   이어 ""연락 두절 및 별거 상태가 장기화된 경우는 혼인 파탄이 객관적으로 인정될 것으로 보인다""며 ""이혼소송이 가능할 것 같다. 법원을 통해 아내의 현재 주소지를 확인한 뒤 이혼 소송을 제기할 수 있을 것""이라고 진단했다.   다만 ""상대방의 주소지를 확인할 수 없고, 상대방이 전혀 응소하지 않아 이혼소송 진행에 어려움이 발생할 경우 법원은 상대방 의견을 듣지 않은 상태에서의 재산분할에 대해선 판단을 유보하는 입장이다""며 ""만약 상대방의 주소지를 찾기 어렵다면 공시송달을 통해 우선 상대방과의 혼인관계부터 해소하는 것이 좋다""고 조언했다.   박 변호사는 ""재산분할의 경우 이혼 후 2년 이내에 별도의 절차로 청구가 가능하다""며 ""재산분할청구권은 부동산가압류신청과 같은 보전절차로서 보호받을 수 있다""고 설명했다.   이어 ""양육비 역시 추후 재산분할청구과정에서 함께 청구가 가능하고, 별도 절차로도 청구할 수 있다""며 ""별거한 이후 실질적으로 혼인생활을 함께 영위하지 않았고, 상대방이 양육을 했다는 사정도 드러나지 않아 과거 양육비 역시 함께 청구할 수 있을 것으로 보인다""고 덧붙였다. #이혼 #인플루언서 #미인대회 #아내 #가출  
",social,2023.11.07. 오전 11:30
"'시흥 검바위초 앞 충전소' 판결, 사업주 손들어줘…학부모 반발",익명,"
 



    시흥 검바위초 전기차충전소 반대 비상대책위가 어린이 안전을 고려하지 않은 경기도 행정심판위원회 처분을 규탄한다는 내용의 현수막을 걸고 있다. 김형수기자      시흥 검바위초교 학부모들이 학교 옆 전기차 충전소 설치에 반발하면서 시작된 갈등으로 시가 사업주 측에 공사중지명령을 내린 것(경기일보 6월6일자 6면)이 위법하다는 판결이 났다.   이에 학부모들로 구성된 전기차충전소 반대 비상대책위원회가 성명서를 발표하며 반발하고 있고, 사업주 측도 공사중지에 따른 손해배상 등을 요구할 것으로 예상돼 파장이 예고된다.   7일 시흥시와 검바위초교 학부모, ㈜해피카메니아 등에 따르면 시의 공사중지명령에 불복해 사업주 측이 제기한 소송에서 경기도행정심판위원회는 최근 ‘공사중지명령이 위법하다’며 사업주 측 손을 들어 줬다.   행심위는 “청구인이 공사를 진행하지 못함에 따라 재산권을 행사하지 못하게 되는 사정, 지출되는 금융비용 등의 사익은 구체적이고 현실적인 불이익에 해당한다”며 “공사중지명령은 위법하다”고 판결했다.   다만 “초등학생의 통학안전성 확보는 여전히 중요한 문제로 사건처분이 취소되더라도 청구인 측을 비롯한 관계자들은 조속한 시일 내 학생들의 통학안전에 대한 적정한 대책이 마련돼야 할 것”이라고 주문했다.   



    시흥 검바위초 전기차충전소 반대 비상대책위가 어린이 안전을 고려하지 않은 경기도 행정심판위원회 처분을 규탄한다는 내용의 현수막을 걸고 있다. 김형수기자      이에 학무보 비대위 측은 “어린이 안전을 고려하지 않은 경기도 행정심판위원회 처분을 규탄한다”며 “어린이들의 안전을 생각하는 학부모를 이기적인 집단으로 몰고 가지 말라”고 말했다.   이어 “건축주는 통학로 안전을 고려한 대책을 마련하고 시흥시를 포함해 경기도, 경기도교육청, 경기도남부경찰청 등은 법리 논쟁만 하지 말고 현실적인 해결 방안을 마련하라”고 요구했다.   반면, 사업주 측은 최근 시에 공사재개를 위해 공사용 임시점용도로에 대한 허가를 신청했지만 시는 법률자문 등을 이유로 민원처리기간을 지연하고 있다.   사업주 측은 “당초 올해 8월31일까지 임시전용도로 허가기간으로 당시 연장을 신청했지만 행정심판 이후에 결론을 내자며 반려한 바 있고 더 이상 도로점용허가를 반려한 이유가 없다”고 항의했다.   시 관계자는 “반려한 건 아니고 법률자문 등을 받는 과정으로 학부모 민원이 있는 만큼 설명회도 갖고 학생 통학로 안전대책을 충분히 강구한 후 행정 조치를 취할 것”이라고 밝혔다.
",social,2023.11.07. 오전 11:30
“부부 사이 좋으신 분 주문”…모양 민망한 200개 한정 ‘19금빵’ 논란,익명,"




 충북 충주의 한 제과점에서 남성 주요 신체부위 모양의 빵을 팔아 논란이 일고 있다. [사진출처 = SNS 커뮤니티 판매글 캡처]빼빼로데이(11월11일)를 앞두고 충북 충주의 한 제과점에서 남성 주요 부위 모양의 빵을 판매한다고 나서 논란이 일고 있다.지난 6일 충주지역 온라인 커뮤니티에는 ‘19금빵’ 홍보 글이 올라왔다. 홍보글에는 한 제과점이 빼빼로데이를 맞아 남성의 주요 부위 모양 등을 형상화한 빵을 예약판매한다는 내용이 담겨있다.게시물에는 “19금 선착순으로 200개만 (예약)받는다”며 “부부 사이가 좋으신 분들 주문”이라고 썼다.빵 한개의 가격은 8000원이다.네티즌들은 “신기하다” “아이디어가 좋다”는 반응도 있는 반면 “모양이 민망하다”는 의견도 있다.일부는 “파격을 가장한 외설”이라는 비판도 나온다.앞서 대만에서도 유행한 이 빵은 10여년 전부터 국내로 들어와 서울 홍대와 제주 러브랜드에서 ‘남근빵’, ‘거시기빵’ 등의 이름으로 판매돼 논란이 된 바 있다.이에 해당 제과점 관계자는 언론에  “15년 전부터 매년 11월이면 해당 제품을 만들어 판매했다”라며 “진열대에 놓지 않고 주문받아 쇼핑백에 넣어 판매하고 있다. 부부만의 의미 있는 선물로 이해해 줬으면 좋겠다”고 설명했다.
",social,2023.11.07. 오전 11:28
수도권매립지는 누구 땅?…'메가서울' 놓고 인천-김포 갈등,익명,"
2015년 4자 합의로 매립지 전체 소유·관할권 인천시 귀속""서울 편입은 정치 쇼"" VS ""인천이 김포에 왈가왈부할 것 아냐""



수도권매립지 위치도[수도권매립지관리공사 제공](인천=연합뉴스) 신민재 기자 = 경기 김포시가 서울시 편입을 추진하는 과정에서 인천과 김포 경계에 걸쳐 있는 수도권매립지 문제로 불똥이 튀고 있다.    김포시가 서울시에 매립지 사용을 협상카드로 제시할 수 있다는 관측이 나오면서 인천시와 김포시가 대립하는 양상이다.    문제의 발단은 김병수 김포시장이 최근 언론 인터뷰에서 ""수도권매립지 제4매립장이 김포 땅이라 김포가 서울에 편입되면 쓰레기 문제를 해결할 수 있다""고 발언하면서 불거졌다.    오세훈 서울시장이 6일 김 시장과 면담한 뒤 이 사안과 관련해 ""일부 보도에 나온 주민기피시설을 주변 지자체에 넘기거나 할 생각은 없다. 그럴 가능성은 매우 적다""고 선을 그었지만, 수도권매립지 사용 종료를 강하게 희망하는 인천시는 여전히 촉각을 곤두세우고 있다.    1992년 조성된 수도권매립지는 전체 면적이 1천636만㎡에 달하는 4개 매립장으로 구성돼 있다.    1∼3매립장은 행정구역상 인천시에 있는데 1매립장과 2매립장은 사용이 끝났고 애초 2016년까지 쓰기로 했던 수도권매립지 사용기한은 3-1공구 매립장이 포화될 때까지로 연장된 상태다.    이번에 문제가 된 4매립장(389만㎡)의 경우 아직 매립조차 이뤄지지 않은 공유수면 상태인데 면적 비율로는 인천에 85%, 김포에 15%가 걸쳐 있다.    그러나 행정구역만 나뉘어 있을뿐 수도권매립지는 2015년 환경부·서울시·경기도·인천시 간 4자 합의에 따라 소유권과 관할권을 모두 인천시가 갖고 있다.    이에 따라 김포시가 서울시에 편입되더라도 4매립장에 대한 모든 권한 역시 인천시가 갖고 있다.



수도권매립지 3-1매립장[연합뉴스 자료사진]수도권매립지 사용 종료를 공약한 유정복 인천시장은 6일 오전 기자회견을 열어 김포시의 서울 편입 추진이 실현 가능성 없는 정치 포퓰리즘이라고 직격탄을 날렸다.     국민의힘 소속인 유 시장은 해당 사안이 당론으로 추진 중임에도 '국민 혼란만 일으키는 정치 쇼'라고 맹비난했다.    그는 ""수도권매립지 문제는 인천시와 서울시 등 4자 협의체의 협의를 바탕으로 논의할 내용이지 비현실적인 김포시 서울 편입 안과 결부시킬 게 아니다""라고 강조했다.    이에 대해 김포의 서울 편입을 강하게 추진하는 김 시장은 ""인천 시장님이 김포에 대해 왈가왈부할 것 아니다""라고 일침을 놨다.    인천과 김포는 수도권매립지 문제뿐만 아니라 서울에서 인천을 경유해 김포를 잇는 서울지하철 5호선 김포·검단 연장선 건설을 놓고도 갈등을 빚고 있다.     인천시는 서구에 4개 정거장을 짓는 노선을, 김포시는 서구 2개 정거장 노선을 각각 제시했고 대도시권광역교통위원회(대광위)는 지자체 간 협상을 유도하고 있다.    인천시 관계자는 ""수도권매립지는 하나의 공구로 이뤄진 폐기물처리시설로, 김포시가 수도권매립지를 임의로 사용하면 공유수면법 위반에 해당한다""며 ""수도권매립지 관할과 종료 등 모든 문제에 대해 김포시는 아무런 권한도 없다""고 말했다.



[그래픽] 서울지하철 5호선 연장 노선안[연합뉴스 자료사진]smj@yna.co.kr
",social,2023.11.07. 오전 11:28
양복 벗어 계단에 놓고 전 여친 살해 준비한 30대…현장사진 공개되자 동요,익명,"
스토킹 중단 방심케 한 뒤 전 여친 집…오늘 속행 공판3차 공판서 서증조사 진행…다음 기일 피고인 신문



법원의 접근금지 명령을 어기고 옛 연인을 찾아가 흉기로 살해한 30대 스토킹범 A씨/뉴스1 ⓒ News1(인천=뉴스1) 박아론 기자 = 검찰이 스토킹 범행을 잠시 중단해 전 여자친구를 방심하게 한 뒤 잔혹하게 살해한 30대 남성의 범행 현장을 담은 폐쇄회로(CC)TV를 법정에서 공개했다.인천지법 제15형사부(재판장 류호중)는 7일 오전 열린 3차 공판에서 살인, 특수상해, 스토킹범죄의 처벌 등에 관한 법률 위반혐의로 구속기소된 A씨(30)의 서증조사를 진행했다.검찰은 이날 서증조사를 하면서 A씨가 전 여자친구 30대 여성 B씨의 주거지 아파트 현장에서 범행을 저지르는 모습을 담은 폐쇄회로(CC)TV 영상 캡처 사진을 공개했다.당시 사진 속에는 A씨가 범행 전 입고 있던 양복을 고이 접은 뒤 계단에 두고 복도를 지나 집을 나온 B씨를 엘리베이터 인근에서 흉기로 잔혹하게 수차례 찔러 살해한 장면이 담겼다.B씨의 ""잘못했다, 살려달라""는 말을 듣고 나온 B씨의 어머니가 A씨를 말리다가 다친 모습도 이어졌다. B씨의 어머니가 손녀가 주거지 밖으로 나오는 것을 말리려고 집으로 들어가는 와중에 A씨가 B씨의 가슴을 흉기로 찔러 숨지게 하고, 신고를 받고 현장에 출동한 소방대원이 B씨를 심폐소생술하는 장면도 확인됐다.아파트 복도와 계단 등 현장은 유혈이 낭자했으며, B씨가 이송될 당시에도 많은 피를 흘려 엘리베이터에도 혈흔이 이곳저곳 묻어져 있었다.현장 사진이 공개되자 재판 내내 담담했던 A씨도 그제서야 눈을 질끈 감고 동요하는 모습을 보이기도 했다.재판부는 다음 기일에 A씨 신문과 유족 등의 증인신문을 하기로 했다. 다음 기일은 오는 21일에 열릴 예정이다.A씨는 지난 7월17일 오전 5시53분께 인천시 남동구 논현동 한 아파트에서 전 여자친구 B씨를 스토킹하다가 흉기로 찔러 숨지게 한 혐의로 기소됐다. 또 B씨와 함께 있던 B씨의 어머니도 흉기로 다치게 한 혐의다.이밖에도 법원으로부터 B씨에 대한 접근금지 등 잠정조치 결정을 받고도 6월2일~7월17일 총 7차례에 걸쳐 B씨의 주거지에 찾아가는 등 잠정조치 결정을 위반한 혐의다.조사결과 A씨는 같은 직장에서 근무하던 B씨와 1년여간 사귀다 헤어진 뒤, 지난 6월 B씨를 스토킹한 혐의로 경찰 조사를 받았다.이후 범행을 중단해 B씨가 방심하면서 경찰로부터 지급받은 스마트워치를 반납한 지 나흘만에 주거지를 찾아가 범행한 것으로 확인됐다.A씨는 범행 직후 극단 선택을 시도했으나, 치료를 받은 뒤 퇴원했다.
		",social,2023.11.07. 오전 11:28
“부부 사이 좋으신 분 주문”…모양 민망한 200개 한정 ‘19금빵’ 논란,익명,"




 충북 충주의 한 제과점에서 남성 주요 신체부위 모양의 빵을 팔아 논란이 일고 있다. [사진출처 = SNS 커뮤니티 판매글 캡처]빼빼로데이(11월11일)를 앞두고 충북 충주의 한 제과점에서 남성 주요 부위 모양의 빵을 판매한다고 나서 논란이 일고 있다.지난 6일 충주지역 온라인 커뮤니티에는 ‘19금빵’ 홍보 글이 올라왔다. 홍보글에는 한 제과점이 빼빼로데이를 맞아 남성의 주요 부위 모양 등을 형상화한 빵을 예약판매한다는 내용이 담겨있다.게시물에는 “19금 선착순으로 200개만 (예약)받는다”며 “부부 사이가 좋으신 분들 주문”이라고 썼다.빵 한개의 가격은 8000원이다.네티즌들은 “신기하다” “아이디어가 좋다”는 반응도 있는 반면 “모양이 민망하다”는 의견도 있다.일부는 “파격을 가장한 외설”이라는 비판도 나온다.앞서 대만에서도 유행한 이 빵은 10여년 전부터 국내로 들어와 서울 홍대와 제주 러브랜드에서 ‘남근빵’, ‘거시기빵’ 등의 이름으로 판매돼 논란이 된 바 있다.이에 해당 제과점 관계자는 언론에  “15년 전부터 매년 11월이면 해당 제품을 만들어 판매했다”라며 “진열대에 놓지 않고 주문받아 쇼핑백에 넣어 판매하고 있다. 부부만의 의미 있는 선물로 이해해 줬으면 좋겠다”고 설명했다.
",social,2023.11.07. 오전 11:28
부부싸움 중 ‘그네 탄 아이’ 내동댕이친 아빠,익명,"
경찰, 아동학대 혐의 수사 중



부부싸움을 한 남성이 자녀가 탄 그네를 홧김에 내던지듯 밀어버리는 장면. 채널A 보도화면 캡처부부싸움을 한 뒤 홧김에 자신의 아이가 탄 그네를 내던지듯 밀어버려 아이를 다치게 한 아빠가 경찰 조사를 받고 있다.7일 경찰 등에 따르면 지난달 24일 서울 강서구의 한 아파트 놀이터에서 아동학대 의심 신고가 접수됐다.당시 CCTV 영상을 보면 벤치에 앉아있던 한 남성이 갑자기 일어나 아이가 타고 있던 그네로 다가간다. 이어 아이가 탄 그네를 거칠게 밀기 시작한다. 단숨에 그네가 높게 올라가더니 아이는 그네 뒤쪽으로 3m 정도 날아가 내동댕이쳐졌다. 남성은 쓰러진 아이를 강제로 일으킨 뒤 다가오는 여성을 향해 보냈다.그네 탄 아이를 내팽개친 남성은 아이의 아빠였다. 그네 뒤에는 철제 울타리가 있어 자칫 큰 사고로 이어질 수 있는 상황이었다.목격자 등에 따르면 당시 남성은 아내와 말다툼을 벌이고 있었다. 그때 아이가 그네를 밀어달라고 하자 홧김에 그네를 강하게 민 것으로 보인다.주민 신고를 받고 출동한 경찰은 부모 진술을 들은 뒤 이달 초 남성을 아동학대 혐의로 입건했다.
		",social,2023.11.07. 오전 11:26
"BBC “한국남성, 女점원 페미로 오해해 폭행” 대서특필…누리꾼 “나라망신”",익명,"




[연합][헤럴드경제=이원율 기자]머리가 짧다는 이유로 편의점 여성 아르바이트생을 무차별 폭행한 20대가 구속된 가운데, 영국 공영 BBC 방송이 이 사건을 보도했다.이 기사는 BBC '많이 읽은 기사' 10위권에 오르기도 했다. 이에 국내 누리꾼들은 ""나라 망신"", ""부끄럽고 속상하다""는 등 반응을 보이는 모습이다.6일(현지시간) BBC는 '한국 남성이 편의점 점원을 페미니스트로 오해해 폭행했다'는 제목의 기사를 보도했다.BBC는 이 기사에서 ""한국 동남부 진주시에서 자정이 넘은 시간 한 남성이 손과 발로 여성 직원을 폭행하는 모습이 CCTV에 잡혔다""며 ""한국 경찰은 이 남성이 점원에게 '머리가 짧은 것으로 봐 페미니스트다. 페미니스트들은 공격당해야 한다'고 말했다고 밝혔다. 술 취한 이 남성은 경찰이 현장에 올 때까지 폭행을 이어갔다""고 전했다.이날 오전 10시 기준 이 기사는 BBC '많이 읽은 기사' 7위에 올랐다.BBC는 이번 일을 놓고 ""경제 선진국 가운데 한국은 성평등 정도가 낮아 여성 직장인에게 가장 최악의 나라 중 하나로 꼽힌다""며 ""역차별로 인해 피해를 입고 있다고 느끼는 젊은 남성들로 인해 안티 페미니스트가 최근 급증했다""고 설명했다.BBC는 이 기사를 '설명할 수 없는 대규모 묻지마 칼부림이 한국을 뒤흔들다', '한국 여성들이 짧은 머리를 다시 주장하는 이유' 등 기사와 함께 배치하기도 했다.한편 경남 진주경찰서는 일면식 없는 편의점 아르바이트생을 무차별 폭행한 혐의(특수상해, 재물손괴 등)로 붙잡힌 20대 남성 A 씨가 구속 전 피의자 심문(영장실질심사)을 받았고, 법원이 도주 우려를 이유로 구속영장을 발부했다고 6일(한국시간) 밝혔다.A 씨는 지난 4일 밤 12시10분께 진주시 하대동의 한 편의점에서 20대 아르바이트생 B 씨를 주먹과 발로 폭행한 혐의를 받는다. 옆에서 폭행을 말리던 손님에게도 여러 차례 폭력을 행사한 혐의를 받고 있다.A 씨는 범행 당시 ""B 씨가 머리가 짧은 걸 보니 페미니스트""라며 ""나는 남성연대인데, 페미니스트는 좀 맞아야 한다""는 취지로 발언했다.경찰은 ""A 씨가 범행 당시 만취 상태였다""며 ""A 씨가 '술 취해 기억이 나질 않는다'며 혐의 일부를 부인했다""고 전했다.한편 KNN에는 A 씨를 말리다가 폭행 당한 손님의 딸이 등장했다. 그는 ""맞고 있는데, 딸 같은데 어떻게 그걸 보고만 있느냐고 하시더라""라며 ""(아버지가)못 때리게 손으로 양손을 잡으니 (폭행범이)아버지 귀랑 목을 물어뜯었다""고 주장했다.
",social,2023.11.07. 오전 11:26
